food_ID,菜名,group,ranking,份數,修正熱量(kcal),每份修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
363596,低脂嫩煎雞肉沙拉佐奇異果優格醬,低脂,0.4804392587508579,1,229.65001,229.65000915527344,579.0175170898438,3.0999999046325684,18.302501678466797,13.610000610351562,0.0,930.7000122070312,178.4499969482422,106.0,15.625,0.2224999964237213,0.6025000214576721,104.0,12.207000732421875,0.03999999910593033,0.23000000417232513,0.5,0.029999999329447746,0.10750000178813934
361829,親子豆豆蛋炒飯(低脂高蛋白),低脂,0.8736559139784945,2,11.8,5.900000095367432,1.8100001811981201,0.24125000834465027,0.0162500012665987,1.3625000715255737,0.32874998450279236,988.125,15.65000057220459,8.324999809265137,9.037500381469727,0.84375,0.02250000089406967,0.949999988079071,0.0064999996684491634,0.0010000000474974513,0.0044999998062849045,0.04650000110268593,0.03450000286102295,0.021250002086162567
359364,巧克力乾咖哩飯 素食、低醣、低脂,低脂,0.3694581280788177,1,51.600002,51.60000228881836,200.88499450683594,2.0850000381469727,2.1150002479553223,8.77500057220459,5.460000514984131,82.80000305175781,257.5500183105469,113.25000762939453,44.10000228881836,9.885000228881836,0.4950000047683716,27.600000381469727,14.215499877929688,0.027000002562999725,0.055500004440546036,0.6015000343322754,0.17100000381469727,0.0
359116,低脂巧克力抹醬,低脂,0.7346459006758742,8,882.5,110.3125,45.336246490478516,3.9574999809265137,4.682499885559082,14.59000015258789,2.161250114440918,26.76249885559082,595.0499877929688,79.32499694824219,48.98749923706055,1.5724998712539673,0.8862499594688416,40.61249923706055,0.7598749995231628,0.033250000327825546,0.14149999618530273,0.34049999713897705,0.08925000578165054,0.20000000298023224
357982,低脂粉蒸嫩雞胸,低脂,0.5346005346005346,1,77.350006,77.35000610351562,35.26000213623047,0.015000000596046448,4.99500036239624,7.199999809265137,0.0,0.550000011920929,18.30000114440918,1.0,0.75,0.07500000298023224,0.015000000596046448,0.0,2.1024999618530273,0.0,0.0024999999441206455,0.0,0.006000000052154064,0.0
356798,蔾麥毛豆雞丁〞簡易的低醣減脂主菜～,低脂,0.8343634116192831,1,423.15002,423.1500244140625,275.4200134277344,78.15125274658203,3.56000018119812,16.483749389648438,2.262500047683716,1459.0750732421875,1335.10009765625,29.11250114440918,117.98749542236328,2.947499990463257,3.2387499809265137,94.79999542236328,1.7120000123977661,0.484499990940094,0.37837502360343933,30.118749618530273,2.9467499256134033,11.579999923706055
349254,薑味龍鬚菜 /兩分鐘低脂輕鬆水油炒,低脂,0.8770140730165206,5,174.06252,34.812503051757815,45.248748779296875,0.6184999942779541,3.1320001602172853,1.8057500839233398,0.824000072479248,38.47750244140625,130.48250732421874,22.722500610351563,7.37750015258789,0.3615000009536743,0.17649999856948853,1813.6099609375,0.7711000442504883,0.02240000069141388,0.03059999942779541,0.16719999313354492,0.03740000128746033,2.347249984741211
346718,油蔥花酥之去皮低脂雞胸肉,低脂,0.6029285099052542,2,17.4,8.699999809265137,2.135000228881836,1.1150001287460327,0.005000000353902578,0.8425000309944153,0.0,2014.875,11.975000381469727,6.474999904632568,5.400000095367432,0.6525000333786011,0.015000000596046448,0.0,0.0,0.0,0.0002500000118743628,0.0,0.0010000000474974513,0.015000000596046448
344658,低脂布朗尼,低脂,1.5047181841366999,1,2941.05,2941.050048828125,175.9499969482422,66.11500549316406,211.88998413085938,229.6099853515625,35.11000061035156,304.8500061035156,3225.7001953125,814.3499755859375,853.2000732421875,26.905000686645508,14.01500129699707,2070.550048828125,48.23550033569336,0.8680000305175781,1.4739999771118164,5.805500030517578,1.440000057220459,7.190000057220459
343433,香料鮮蝦櫛瓜麵_低卡減脂健康餐,低脂,0.5831281586108591,2,44.3,22.149999618530273,0.005000000353902578,0.0,2.502500057220459,0.010000000707805157,0.0,861.7000122070312,4.450000286102295,3.0,2.625,0.12250000238418579,0.002500000176951289,6.224999904632568,0.44825002551078796,0.0,0.0,0.0,0.0,0.007500000298023224
339836,低脂南瓜牛肉拌飯,低脂,1.5628699976320153,1,376.5,376.5,198.70001220703125,19.59000015258789,18.799999237060547,36.65999984741211,5.25,1802.60009765625,953.0,35.900001525878906,55.0,3.4100000858306885,3.369999885559082,5594.5,2.424999952316284,0.20800001919269562,0.2879999876022339,5.179999828338623,0.9760000109672546,22.799999237060547
334153,蒜拌菠菜/加紅蘿蔔絲。水油低脂炒,低脂,1.282991202346041,3,188.05,62.68333435058594,101.34832763671875,1.911666711171468,5.220000267028809,3.8100001017252603,1.7366666793823242,37.76666514078776,380.9499918619792,57.25,43.43333435058594,2.0183334350585938,0.5266666809717814,6180.466796875,5.043666839599609,0.052499999602635704,0.08700000246365865,0.3333333333333333,0.10199999809265137,9.02166748046875
332866,低糖低脂免烤箱焦糖布甸,低脂,0.30823425803610743,4,514.5,128.625,113.947509765625,3.375,4.049999713897705,20.34000015258789,0.0,43.04999923706055,165.375,112.80000305175781,11.25,0.11250000447034836,0.45000001788139343,160.875,0.08999999612569809,0.044999998062849045,0.19425000250339508,0.25874999165534973,0.044999998062849045,0.45000001788139343
