樣品編號,食品分類,樣品名稱,修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
C0905101,堅果及種子類,原味榛果,655,1.1,13.0,66.5,17.2,8.0,1,638,182,181,3.8,2.3,26,28.35,0.19,0.15,0.91,0.64,0.0
C1005101,堅果及種子類,山粉圓,280,8.7,16.3,12.8,58.0,57.9,5,528,1073,119,10.1,2.8,12,5.95,0.10,0.12,0.99,0.41,13.0
C1120101,堅果及種子類,可可粉,415,2.3,20.8,22.8,43.8,24.7,26,5477,166,452,13.9,6.2,87,6.32,0.03,0.14,2.27,0.72,0
C1210101,堅果及種子類,玉桂西瓜子,459,5.3,31.1,34.4,23.8,16.3,854,779,47,418,8.0,5.3,0,21.36,0.06,0.13,1.24,0.74,0.0
C1210102,堅果及種子類,醬油西瓜子,487,5.1,29.5,37.7,22.5,10.9,685,788,87,474,7.5,5.8,0,23.89,0.04,0.09,1.11,0.34,0.0
C1305101,堅果及種子類,亞麻仁籽,476,7.6,20.8,40.3,28.1,23.1,46,629,253,313,6.7,4.1,423,13.10,0.47,0.13,2.09,0.60,0.0
C1320101,堅果及種子類,亞麻仁籽粉,506,2.9,21.7,43.6,28.6,24.5,16,798,328,377,6.7,5.3,39,12.42,0.01,0.18,3.28,0.28,0.3
C1410101,堅果及種子類,咖啡豆(曼特寧),337,2.1,13.9,14.9,65.1,48.4,2,1095,106,209,4.3,1.0,0,12.92,0,0.39,36.59,1.08,0
C1505101,堅果及種子類,奇亞子,422,7.2,21.7,31.8,34.8,29.7,0,881,831,378,6.6,7.0,0,13.26,0.36,0.31,7.60,0.17,0.0
C1605101,堅果及種子類,白芝麻(生),576,4.7,22.3,54.9,15.0,10.5,39,461,64,378,6.8,3.7,0,22.71,0.90,0.17,5.24,0.70,0.6
C1605102,堅果及種子類,黑芝麻(生),519,6.0,22.2,48.1,17.6,15.5,2,470,1354,299,22.3,3.8,0,20.57,0.91,0.27,5.32,0.71,0.6
