樣品編號,食品分類,樣品名稱,修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
E02001,蔬菜類,胡蘿蔔平均值,34,89.3,1.1,0.1,8.9,2.6,89,198,27,11,0.3,0.2,20718,0.42,0.04,0.04,0.31,0.15,5.4
E0200101,蔬菜類,胡蘿蔔,32,89.6,1.0,0.2,8.5,2.7,67,267,30,13,0.5,0.3,11199,0.61,0.05,0.04,0.61,0.13,5.2
E0200102,蔬菜類,向陽二號胡蘿蔔,39,88.1,0.6,0.1,10.6,2.5,92,102,24,9,0.2,0.3,16718,0.26,0.04,0.03,0.16,0.07,6.6
E0200103,蔬菜類,澳洲胡蘿蔔(細長型),29,90.2,1.7,0.1,7.5,2.7,109,225,26,11,0.3,0.2,32307,0.41,0.03,0.05,0.18,0.24,4.5
E0200201,蔬菜類,黃胡蘿蔔,34,88.4,1.1,0.3,9.4,4.1,65,338,28,12,0.3,0,1623,2.11,0.10,0.03,0.32,0.06,3.2
E0200301,蔬菜類,冷凍胡蘿蔔,9,96.0,0.5,0.1,3.0,2.2,65,120,36,13,0.5,0.2,35999,0,0.03,0.03,0.17,0.01,2.4
E0300101,蔬菜類,根菾菜根,30,89.9,1.3,0.1,7.8,2.3,146,294,14,14,0.2,0.2,0,0.05,0.02,0.02,0.42,0.08,3.4
E04001,蔬菜類,白蘿蔔平均值,16,95.2,0.5,0.1,3.9,1.1,46,125,24,9,0.1,0.3,0,0,0.02,0.01,0.09,0.07,13.9
E0400101,蔬菜類,白蘿蔔,14,95.5,0.7,0.1,3.3,1.1,27,151,23,9,0.3,0.2,0,0,0.02,0.02,0.19,0.09,15.3
E0400102,蔬菜類,白蘿蔔(長形),17,94.8,0.4,0.1,4.4,1.1,65,98,26,8,0,0.4,0,0,0.02,0.01,0,0.06,12.4
E0400201,蔬菜類,櫻桃蘿蔔,9,96.5,0.6,0,2.3,1.0,43,237,22,7,0.3,0.2,0,0,0.01,0.02,0.12,0.04,8.3
E0400301,蔬菜類,青蘿蔔,30,90.1,1.8,0.1,7.0,1.6,13,391,50,17,0.4,0.6,0,0,0.05,0.04,0.56,0.38,25.0
E0420101,蔬菜類,蘿蔔乾,44,75.8,2.2,1.2,10.8,7.2,3279,400,92,41,2.1,0.5,0,0,0.01,0.04,0.44,0.06,0.1
E0500101,蔬菜類,百合鱗片,132,62.4,3.8,0.1,32.3,2.7,4,570,11,24,0.8,0.8,0,0.10,0.11,0.13,1.60,0.02,8.8
E0510101,蔬菜類,乾百合鱗片,255,15.6,11.8,0.7,68.4,26.0,90,1240,31,43,5.2,2.2,0,0.35,0.03,0.01,0.98,0.05,0.0
E0600101,蔬菜類,芋莖,17,94.2,1.1,0.5,3.4,1.5,4,410,33,15,0.3,0.4,392,0,0.03,0.03,0.40,0,11.0
E0700101,蔬菜類,金針菜嫩莖,20,93.4,0.7,0.2,5.3,2.1,1,211,10,5,0.2,0.3,198,1.08,0.06,0.06,0.30,0.04,22.7
E0800101,蔬菜類,草石蠶,70,79.3,1.7,0,18.0,2.4,0,471,27,22,1.1,0.6,0,0.04,0.07,0.08,0.32,0.12,4.1
E0900101,蔬菜類,球莖甘藍,18,94.0,1.6,0.2,3.6,0.9,18,260,23,10,0.2,0.3,0,0.05,0.03,0.01,0.29,0.14,52.7
E1000101,蔬菜類,孟宗竹筍,36,87.3,4.0,0.2,7.3,2.1,12,634,55,18,0.5,1.7,0,1.92,0.07,0.10,0.50,0.19,7.2
E1100101,蔬菜類,熟桂竹筍,18,93.7,2.1,0.2,3.5,1.7,68,93,22,4,0.2,0.3,9,0.65,0.01,0.04,0.33,0.02,2.2
E1100201,蔬菜類,桂竹筍片,13,93.0,1.0,0.2,3.3,2.4,815,49,11,1,0.3,0.1,0,0.03,0,0.02,0.18,0,0.0
E1200101,蔬菜類,烏殼綠竹筍,18,93.6,1.8,0.2,3.8,1.7,17,238,11,11,0.3,0.6,2,0.32,0.06,0.06,0.36,0.10,4.1
E1300101,蔬菜類,茭白筍,16,94.0,1.3,0.2,4.0,2.1,5,219,3,7,0.4,0.2,5,0.40,0.05,0.05,0.46,0.09,5.2
E1400101,蔬菜類,麻竹筍,17,93.3,2.1,0.1,3.7,2.0,5,309,9,9,0.4,0.4,2,0.22,0.04,0.07,0.53,0.05,3.0
E1400201,蔬菜類,冷凍麻竹筍,14,95.1,0.9,0,3.8,1.7,22,40,12,7,0.1,0.2,0,0,0.01,0.02,0,0.08,0.0
E1410101,蔬菜類,麻竹筍干,144,46.8,15.8,1.2,32.0,17.0,50,1805,179,25,5.7,4.2,0,0.60,0,0.10,1.11,0.25,0.0
E1500101,蔬菜類,綠竹筍,22,92.6,1.7,0.2,4.7,1.7,0,303,10,11,0.8,0.9,0,0.39,0.07,0.06,0.22,0.08,5.0
E1500201,蔬菜類,帶殼熟綠竹筍,22,92.4,2.0,0.1,4.9,1.9,1,236,8,9,0.4,0.7,366,0.24,0.12,0.04,0.66,0.04,0.0
E1500301,蔬菜類,沙拉筍塊,20,93.1,1.6,0.1,4.8,1.7,8,162,9,6,0.6,0.5,0,0.32,0.01,0.03,0.30,0.01,0.5
E1600101,蔬菜類,熟箭竹筍,16,93.6,2.1,0.3,2.9,2.1,343,2,54,2,0.5,0.2,0,0.68,0,0.01,0.32,0,0.3
E1700101,蔬菜類,白蘆筍,22,92.6,1.8,0.2,4.9,1.8,4,204,10,9,0.7,0.5,272,0.07,0.09,0.06,0.73,0.10,16.7
E17002,蔬菜類,綠蘆筍平均值,19,93.1,2.4,0.2,3.6,1.3,4,271,14,16,1.1,0.8,685,0.48,0.10,0.13,1.08,0.11,12.3
E1700201,蔬菜類,綠蘆筍,20,93.4,1.3,0.2,4.5,1.4,6,220,15,11,1.0,0.3,1327,0.55,0.07,0.13,0.98,0.10,9.7
E1700202,蔬菜類,澳洲綠蘆筍(粗短型),18,93.4,2.5,0.2,3.1,1.2,3,261,14,15,1.2,0.7,0,0.60,0.08,0.09,1.08,0.06,7.7
E1700203,蔬菜類,綠蘆筍(細短型),21,92.5,3.3,0.2,3.2,1.2,3,332,12,21,1.3,1.4,727,0.30,0.14,0.17,1.17,0.17,19.5
E1700301,蔬菜類,蘆筍花,17,93.1,2.9,0.3,2.7,1.8,2,332,9,16,2.5,1.1,1462,0.89,0.13,0.20,1.56,0.10,18.4
E1800101,蔬菜類,嫩莖萵苣,14,95.0,1.0,0.2,3.1,1.2,22,310,16,16,0.3,0.2,600,0,0.03,0.01,0.70,0,4.0
E1900101,蔬菜類,嫩薑,19,94.3,0,0.3,4.8,1.4,12,270,14,15,0.4,0.2,33,0,0,0.01,1.03,0,11.0
E1900102,蔬菜類,粉薑,23,92.0,1.0,0.3,6.1,2.7,7,297,17,22,0.7,0.3,2,1.86,0.02,0.02,0.47,0.06,3.0
E1900103,蔬菜類,老薑,47,85.8,1.1,0.5,11.7,3.2,4,304,21,33,2.0,0.5,51,2.08,0.02,0.03,0.49,0.10,2.9
E2000101,蔬菜類,檳榔嫩莖,26,90.9,2.2,0.4,5.6,2.6,10,346,35,36,0.3,2.0,0,0.30,0.03,0.08,0.60,0.12,19.8
E2100101,蔬菜類,大蒜,115,65.6,6.7,0.2,26.4,4.2,4,423,11,20,1.1,0.8,0,0.32,0.17,0.06,0.58,0.94,8.3
E2100201,蔬菜類,青蒜,27,90.5,2.1,0.3,6.4,3.2,3,279,64,12,1.1,0.3,1329,0.47,0.06,0.07,0.50,0.22,28.2
E2100301,蔬菜類,蒜苗,47,85.1,2.2,0.1,12.0,3.3,9,198,20,9,0.5,0.4,0,0.22,0.11,0.07,0.41,0.61,27.5
E2250101,蔬菜類,薤,7,90.6,0.5,0.2,1.9,1.8,2586,90,35,14,1.6,0.3,0,0,0,0.01,0.09,7.30,1.6
E23001,蔬菜類,青蔥平均值,24,92.0,1.4,0.2,6.0,2.2,3,650,114,33,2.2,1.6,414,1.21,0.06,0.07,0.35,0.10,15.8
E2300101,蔬菜類,青蔥,18,93.5,1.5,0.3,4.2,2.5,3,174,54,15,0.9,0.2,1037,0.24,0.06,0.07,0.36,0.16,11.2
E2300102,蔬菜類,山東大蔥,28,91.4,1.3,0.1,6.7,1.3,8,2067,316,91,7.1,5.6,0,0.08,0.05,0.05,0.21,0.09,29.7
E2300103,蔬菜類,日本甜蔥,28,90.7,1.0,0.1,7.6,2.7,1,247,37,14,0.4,0.5,621,0.29,0.08,0.06,0.20,0.07,10.2
E2300104,蔬菜類,宜蘭粉蔥,23,92.3,1.6,0.2,5.4,2.2,1,114,47,13,0.4,0,0,4.23,0.05,0.09,0.63,0.09,12.0
E2400101,蔬菜類,白洋蔥,40,88.6,1.0,0.1,10,1.3,3,145,25,10,0.4,0.3,0,0.03,0.03,0.01,0.06,0.09,5.6
E2400201,蔬菜類,紫洋蔥,29,91.3,0.9,0.1,7.3,1.5,4,122,21,8,0.2,0.2,0,0.04,0.04,0.02,0.46,0.16,4.5
E2400301,蔬菜類,黃洋蔥,39,88.9,1.0,0.2,9.5,1.4,2,157,20,9,0.4,0.3,1,0.03,0.03,0.01,0.22,0.09,4.7
E2500101,蔬菜類,紅蔥頭,70,79.1,3.4,0.3,16.4,2.5,16,298,21,19,0.7,0.5,1,0.44,0.08,0.04,0.48,0.17,4.3
E2600101,蔬菜類,韮菜花,21,92.8,1.8,0.2,4.6,1.8,4,196,17,12,0.6,0.3,2516,0.36,0.04,0.08,0.63,0.18,15.5
E2600201,蔬菜類,韮菜,18,93.0,1.9,0.4,3.9,2.4,2,312,56,18,1.4,0.4,4760,1.12,0.05,0.10,0.39,0.12,18.7
E2600301,蔬菜類,韮菜黃,13,95.1,1.5,0.1,2.9,1.7,3,158,19,10,0.6,0.2,667,0.12,0.05,0.04,0.49,0.12,6.3
E2700101,蔬菜類,九層塔,21,91.0,2.9,0.4,4.4,3.4,2,347,191,42,4.7,0.6,16050,0.09,0.07,0.23,0.84,0.32,13.8
E2800101,蔬菜類,小麥苗,27,89.6,3.3,0.5,5.5,3.9,3,446,58,23,1.6,0.9,7307,0.62,0.14,0.23,0.60,0.18,21.9
E2900101,蔬菜類,水菜(日本種),8,95.7,1.2,0.2,1.6,1.4,2,288,125,25,1.0,0.7,1619,0.62,0.04,0.08,0.63,0.08,24.4
E30001,蔬菜類,甘藍平均值,21,93.2,1.3,0.1,4.8,1.1,11,187,47,12,0.4,0.3,52,0.24,0.03,0.02,0.24,0.17,37.2
E3000101,蔬菜類,梨山甘藍(尖球形),22,92.9,1.4,0.1,5.1,1.0,8,205,36,12,0.7,0.5,0,0.08,0.05,0.02,0.16,0.27,41.1
E3000102,蔬菜類,甘藍(扁圓形),19,93.9,1.1,0.2,4.3,0.9,12,173,58,11,0.3,0.2,36,0.14,0.03,0.02,0.25,0.08,29.9
E3000103,蔬菜類,甘藍(圓球形),22,92.9,1.4,0.2,4.9,1.3,11,183,49,11,0.4,0.3,121,0.51,0.03,0.03,0.29,0.17,40.4
E3000201,蔬菜類,紫色甘藍,24,91.7,1.5,0.2,5.9,2.1,13,250,51,15,0.4,0.3,22,0,0.04,0.05,0.43,0.14,44.7
E3000301,蔬菜類,甘藍芽,29,90.5,2.7,0.6,5.4,2.1,12,312,75,17,1.1,0.6,486,0.22,0.06,0.08,0.31,0.08,70.4
E3000401,蔬菜類,冷凍甘藍,16,93.9,1.3,0.1,4.2,2.3,21,120,49,14,0.3,0.2,0,0,0.03,0.02,0.05,0.05,38.0
E3010101,蔬菜類,脫水甘藍,308,4.7,6.9,0.1,82.6,17.0,1351,635,285,72,2.3,1.0,0,0.41,0.13,0.07,1.33,1.72,96.7
E3010201,蔬菜類,甘藍乾,174,39.0,7.2,1.1,38.9,3.0,3854,870,254,67,5.2,0.9,0,0,0,0,1.07,0.01,0.6
E3050101,蔬菜類,酸甘藍菜,16,92.1,1.4,0.2,4.2,3.4,497,111,38,8,0.8,0.2,23,0.14,0.02,0.02,0.06,0.08,15.6
E3100101,蔬菜類,甘藷葉,22,90.9,3.2,0.3,4.4,3.3,39,401,105,35,2.5,0.5,5960,1.09,0.08,0.18,0.66,0.20,26.8
E3200101,蔬菜類,蚵仔白菜,10,96.0,1.6,0.5,1.1,1.4,25,340,28,13,1.5,0.2,2958,0,0.02,0.03,0.30,0.03,6.0
E3200201,蔬菜類,荷葉白菜,12,94.8,1.4,0.1,2.5,1.2,91,245,131,155,0.7,0.7,3087,1.01,0.05,0.10,0.33,0.10,40.5
E3200301,蔬菜類,葵扇白菜,11,95.1,1.6,0.1,2.4,1.4,47,236,119,141,0.4,1.4,3039,0.74,0.03,0.08,0.71,0.10,45.7
E3200401,蔬菜類,黑葉白菜(短梗),13,94.7,1.3,0,2.9,1.3,57,283,101,119,0.7,0.9,5676,0.84,0.04,0.10,1.00,0.07,32.6
E3200501,蔬菜類,千寶菜,16,93.3,1.7,0.2,3.6,2.2,46,290,126,27,2.5,0.7,1331,1.45,0.08,0.11,0.20,0.12,44.0
E3200601,蔬菜類,土植小白菜(1月取樣),8,96.4,1.2,0.2,1.5,1.3,110,109,99,16,1.9,0.3,1362,0.57,0.03,0.05,0.52,0.06,14.8
E3200602,蔬菜類,土植小白菜(3月取樣),8,95.8,1.6,0.1,1.9,1.9,32,223,78,15,1.2,0.2,753,0.95,0.05,0.09,0.37,0.13,25.6
E3200603,蔬菜類,土植小白菜(4月取樣),11,95.8,1.1,0.2,2.2,1.2,125,139,73,16,1.1,0.4,611,0.67,0.04,0.05,0.80,0.09,23.7
E3200604,蔬菜類,土植小白菜(7月取樣),8,96.3,1.0,0.1,1.8,1.0,119,144,99,13,0.8,0.2,352,0.98,0.04,0.07,0.61,0.16,21.1
E3200605,蔬菜類,土植小白菜(10月取樣),9,96.4,1.1,0.2,1.7,1.1,71,140,109,17,2.0,0.3,300,0.95,0.03,0.06,0.67,0.08,17.3
E3200701,蔬菜類,水植小白菜(1月取樣),10,95.3,1.5,0.1,2.1,1.5,9,359,67,35,2.2,0.3,1099,0.49,0.04,0.07,0.56,0.02,19.2
E3200702,蔬菜類,水植小白菜(4月取樣),11,95.6,1.0,0.2,2.4,1.4,11,324,66,34,0.9,0.2,370,0.80,0.03,0.06,0.80,0.09,23.0
E3200703,蔬菜類,水植小白菜(7月取樣),10,95.7,0.9,0.1,2.4,1.2,9,270,91,18,0.8,0.2,211,0.70,0.04,0.07,0.57,0.17,17.0
E3200704,蔬菜類,水植小白菜(10月取樣),10,95.9,1.1,0.3,1.8,1.2,6,292,86,26,1.7,0.4,513,0.78,0.03,0.07,0.65,0.12,26.5
E3200801,蔬菜類,有機小白菜(1月取樣),6,96.2,1.8,0.2,0.8,1.5,79,218,133,18,1.2,0.6,1193,0.58,0.05,0.07,0.66,0.07,20.0
E3200802,蔬菜類,有機小白菜(4月取樣),12,95.0,1.3,0.2,2.4,1.2,40,320,136,23,1.2,0.3,1893,0.84,0.03,0.10,0.72,0.10,21.7
E3200803,蔬菜類,有機小白菜(7月取樣),8,96.0,1.3,0.1,1.7,1.3,33,260,127,12,0.7,0.2,249,0.95,0.04,0.07,0.65,0.19,19.4
E3200804,蔬菜類,有機小白菜(10月取樣),11,95.7,1.3,0.2,1.9,1.1,23,294,145,17,1.8,0.5,2829,2.06,0.05,0.09,0.68,0.10,31.2
E3200901,蔬菜類,珍珠小白菜,8,95.6,1.5,0.1,1.7,1.7,4,393,138,24,0.8,0.4,1721,1.03,0.05,0.07,0.71,0.09,11.1
E3201001,蔬菜類,油菜心,27,91.1,3.2,0.9,4.0,2.3,21,240,92,23,1.8,0.5,14224,0,0.04,0.33,0.80,0.01,93.0
E3201101,蔬菜類,油菜,9,95.8,1.4,0.2,1.6,1.6,73,220,88,16,1.0,0.6,3085,0.77,0.04,0.08,0.55,0.07,25.0
E3201201,蔬菜類,土植青江菜(1月取樣),8,96.4,1.3,0,1.6,1.1,73,114,72,13,1.0,0.4,1212,0.28,0.04,0.04,0.60,0.04,16.2
E3201202,蔬菜類,土植青江菜(3月取樣),7,96.4,0.4,0.2,2.3,2.1,63,222,81,17,0.8,0.3,1667,0.43,0.04,0.08,0.41,0.10,24.2
E3201203,蔬菜類,土植青江菜(4月取樣),9,96.4,1.0,0.1,1.8,1.0,110,86,91,23,1.1,0.3,662,0.13,0.03,0.06,0.38,0.12,17.3
E3201204,蔬菜類,土植青江菜(7月取樣),12,95.1,1.5,0.1,2.5,1.3,92,108,95,13,0.8,0.3,1560,0.19,0.04,0.06,0.55,0.22,24.7
E3201205,蔬菜類,土植青江菜(10月取樣),8,95.9,1.4,0.2,1.6,1.9,117,86,122,20,0.6,0.4,476,0.59,0.05,0.09,0.58,0.07,42.4
E3201301,蔬菜類,水植青江菜(1月取樣),10,95.7,1.2,0,2.4,1.4,6,200,67,25,1.7,0.2,1070,0.36,0.03,0.04,0.62,0.07,19.7
E3201302,蔬菜類,水植青江菜(4月取樣),12,95.0,1.4,0.2,2.4,1.3,12,376,92,39,0.8,0.1,2449,0.25,0.05,0.07,0.68,0.12,37.8
E3201303,蔬菜類,水植青江菜(7月取樣),12,94.8,1.7,0.1,2.2,1.1,13,377,92,32,0.7,0.2,1364,0.36,0.05,0.07,0.60,0.22,27.7
E3201304,蔬菜類,水植青江菜(10月取樣),7,96.0,1.4,0.2,1.4,1.9,14,308,104,36,1.3,0.5,559,0.63,0.05,0.10,0.60,0.08,35.0
E3201401,蔬菜類,有機青江菜(1月取樣),7,96.1,1.5,0,1.5,1.3,38,180,104,14,1.6,0.5,1418,0.27,0.04,0.04,0.80,0.10,17.7
E3201402,蔬菜類,有機青江菜(4月取樣),13,94.9,1.4,0.2,2.5,1.2,40,279,143,22,0.8,0.3,1973,0.19,0.04,0.10,0.69,0.17,35.0
E3201403,蔬菜類,有機青江菜(7月取樣),17,93.1,1.9,0.2,3.5,1.9,22,360,142,20,1.0,0.3,2627,0.35,0.07,0.15,0.85,0.31,54.3
E3201404,蔬菜類,有機青江菜(10月取樣),7,96.5,1.3,0.2,1.1,1.2,11,225,116,13,0.7,0.8,145,0.38,0.04,0.08,0.57,0.07,18.2
E3201501,蔬菜類,塔菇菜,7,95.5,2.7,0.2,0.5,1.8,27,383,125,32,1.1,0.4,2789,1.65,0.06,0.09,0.61,0.11,5.9
E3201601,蔬菜類,廣島野菜,4,96.6,2.0,0.1,0.3,2.1,91,154,128,37,0.6,0.4,1705,1.21,0.05,0.07,0.66,0.12,15.4
E33001,蔬菜類,結球白菜平均值,15,95.1,1.2,0.3,2.9,0.9,24,167,40,10,0.4,0.2,34,0.13,0.03,0.03,0.40,0.09,16.5
E3300101,蔬菜類,煙台白菜,12,95.8,1.3,0.3,2.2,1.2,30,119,34,8,0.3,0.3,92,0.10,0.02,0.03,0.39,0.07,18.0
E3300102,蔬菜類,迷你竹筍白菜,18,94.2,1.3,0.1,3.8,0.4,4,220,34,9,0.2,0.1,13,0.11,0.02,0.04,0.33,0.13,13.5
E3300103,蔬菜類,翠玉白菜,17,94.9,1.0,0.7,2.8,1.2,48,158,42,12,0.5,0.2,13,0.15,0.04,0.01,0.41,0.05,17.1
E3300104,蔬菜類,包心白菜,13,95.5,1.2,0.2,2.6,1.0,14,171,51,11,0.5,0.3,17,0.15,0.03,0.03,0.46,0.11,17.3
E3300201,蔬菜類,白菜芽,51,85.0,2.6,0.3,11.5,1.7,24,263,45,16,0.4,0.4,36,0.59,0.07,0.06,1.07,0.12,22.2
E3400101,蔬菜類,白鳳菜,21,91.5,2.0,0.4,4.8,3.3,28,380,82,41,1.3,0.4,5733,0,0.06,0.85,0.76,0.03,24.5
E3400201,蔬菜類,紅鳳菜,18,92.7,2.1,0.4,3.5,2.6,13,312,122,48,6.0,0.5,10129,0.96,0.03,0.12,0.36,0.05,9.5
E3500101,蔬菜類,豆瓣菜,17,93.1,2.2,0.3,3.2,2.0,45,340,98,20,2.3,0.6,6883,0,0.08,0.11,0.16,0.05,43.7
E3600101,蔬菜類,明日葉,45,84.5,1.4,0.8,11.9,6.1,4,583,242,22,1.5,0.5,2083,1.03,0.37,0.18,0.95,0.11,39.2
E3700101,蔬菜類,山芹菜,24,92.6,2.8,2.2,0.4,1.7,26,400,222,70,7.8,1.0,7266,0,0.01,0.02,0.39,0.01,17.6
E37002,蔬菜類,芹菜平均值,13,95.0,0.8,0.1,3.1,1.4,65,314,83,12,0.6,0.3,664,0.14,0.02,0.04,0.41,0.05,6.6
E3700201,蔬菜類,芹菜(青梗),10,95.7,0.8,0.1,2.4,1.1,46,321,86,12,0.1,0.4,969,0.24,0.02,0.04,0.39,0.05,7.9
E3700202,蔬菜類,芹菜(黃梗),15,94.3,0.8,0.2,3.8,1.6,85,306,81,11,1.1,0.2,358,0.04,0.01,0.04,0.44,0.06,5.3
E3700301,蔬菜類,西洋芹菜,8,96.3,0.4,0.2,2.2,1.6,87,240,52,12,0.7,0.2,130,0.18,0.02,0.02,0.15,0.10,4.9
E3800101,蔬菜類,大心芥菜,33,95.7,1.0,5.1,0,1.0,12,371,15,8,0.2,0.4,0,0.07,0.04,0.01,0.20,0.06,16.1
E3800201,蔬菜類,大芥菜,16,94.6,0.8,0.5,3.4,1.6,35,180,98,12,1.4,0.3,667,0,0.01,0.05,0.50,0.01,34.0
E3800301,蔬菜類,包心芥菜,14,95.2,1.0,0.5,2.7,1.4,15,245,60,12,0.3,0.3,112,0.09,0.02,0.02,0.24,0.10,24.2
E38004,蔬菜類,芥菜平均值,16,93.8,1.5,0.2,3.5,1.6,9,330,80,14,1.2,0.6,1234,0.66,0.04,0.08,0.34,0.11,41.0
E3800401,蔬菜類,芥菜,15,94.1,1.6,0.1,3.2,1.5,3,338,72,13,1.2,0.4,457,0.59,0.05,0.08,0.27,0.16,41.2
E3800402,蔬菜類,雪裡蕻,17,93.5,1.5,0.2,3.8,1.7,14,322,88,16,1.3,0.9,2011,0.73,0.03,0.07,0.40,0.06,40.8
E3850101,蔬菜類,梅乾菜,81,41.1,5.5,1.1,20.8,12.8,11555,820,381,59,35.6,1.7,7169,4.07,0.03,0.15,0.88,0.24,0.0
E3850201,蔬菜類,榨菜,19,86.5,1.3,0.4,4.6,2.9,2790,90,47,9,2.0,0.4,187,0.27,0.01,0.03,0.05,0.07,0.0
E3850301,蔬菜類,酸菜,13,91.0,0.8,0.3,3.2,2.3,1447,150,50,11,1.1,0.3,78,0.42,0.02,0.03,0.31,0.09,7.3
E3900101,蔬菜類,芥藍菜,16,93.6,1.7,0.3,3.2,1.9,27,292,181,31,1.4,0.4,7378,1.34,0.03,0.08,0.43,0.11,51.9
E3900201,蔬菜類,芥藍芽,23,92.1,2.2,0.3,4.5,1.9,7,209,46,17,0.8,0.5,1295,0.21,0.05,0.08,0.81,0.12,8.8
E4000101,蔬菜類,芫荽,20,91.5,2.3,0.3,4.5,3.2,17,303,61,17,2.4,2.2,12085,0.46,0.06,0.17,0.99,0.13,71.9
E4100101,蔬菜類,紅梗珍珠菜,25,88.8,2.6,1.0,5.6,6.4,12,550,127,54,4.5,0.6,8041,0,0.06,0.06,0.75,0.44,16.4
E4200101,蔬菜類,食茱萸,95,60.2,11.9,0.3,23.8,16.8,5,640,721,58,23.9,1.3,24099,0,0.41,0.10,1.26,0.02,116.8
E4300101,蔬菜類,香樁,88,72.1,4.3,1.5,19.4,5.9,17,400,514,67,3.7,1.2,12225,0,0.12,0.04,2.71,0.02,255.0
E4400101,蔬菜類,茴香,19,92.1,2.2,0.2,4.1,2.8,50,437,133,25,1.4,0.6,2618,0.81,0.08,0.18,0.77,0.12,25.8
E4500101,蔬菜類,馬齒莧,13,95.6,1.2,0.4,1.9,0.4,94,170,54,62,1.3,0.4,4266,0,0.02,0,0.14,0.08,6.8
E4600101,蔬菜類,茼蒿,13,94.7,1.7,0.3,2.2,1.6,69,362,46,16,1.5,0.4,4388,0.44,0.05,0.08,0.41,0.16,10.5
E4600201,蔬菜類,日本茼蒿,11,94.2,2.6,0.2,1.8,2.3,274,225,78,32,2.3,0.4,6285,0.89,0.10,0.14,0.80,0.14,12.3
E4600301,蔬菜類,昭和草,26,91.9,2.2,0.7,3.8,0,9,520,83,20,4.2,0.3,19049,0,0.04,0,0.51,0.01,2.6
E4700101,蔬菜類,隼人瓜苗,19,92.2,3.3,0.2,3.5,2.3,3,220,43,22,1.4,0.7,1667,0.62,0.06,0.14,0.81,0.13,11.2
E4800101,蔬菜類,白莧菜,13,93.9,1.9,0.3,2.6,2.4,20,507,146,46,4.6,0.6,2828,0.13,0.02,0.08,0.36,0.01,12.5
E4800201,蔬菜類,紅莧菜,15,92.3,2.9,0.2,2.6,2.7,11,445,218,74,11.8,0.6,11051,0.77,0.01,0.15,0.63,0.12,16.0
E4800301,蔬菜類,野莧菜,33,85.9,6.3,0.6,4.9,4.3,20,400,336,186,4.8,1.0,9283,0,0,0,0.02,0.06,11.0
E4900101,蔬菜類,紫蘇,54,79.4,5.5,1.2,11.9,8.8,1,502,401,94,7.4,1.3,5497,2.87,0.15,0.47,2.32,0.25,41.1
E5000101,蔬菜類,菠菜,14,93.7,2.2,0.3,2.4,1.9,43,510,81,62,2.9,0.7,6163,1.42,0.06,0.12,0.41,0.06,12.1
E5000201,蔬菜類,菠菜(葉),18,91.5,3.9,0.4,2.5,3.2,74,363,192,141,3.7,0.8,7633,3.68,0.13,0.27,0.46,0.23,28.8
E5000301,蔬菜類,冷凍菠菜,13,94.1,2.1,0,2.9,2.1,46,180,78,38,0.8,0.4,9233,0,0.02,0.06,0.07,0.02,8.5
E5100101,蔬菜類,菾菜,17,92.9,2.0,0.1,3.7,2.0,108,364,45,48,1.4,0.5,2876,0.66,0.06,0.10,0.30,0.09,3.0
E5100201,蔬菜類,黃金菾菜,14,93.4,2.4,0.2,2.6,2.4,77,445,45,56,0.8,0.6,2229,0.73,0.07,0.14,0.30,0.13,5.1
E5200101,蔬菜類,落葵,29,90.1,2.7,0.3,6.0,2.3,49,243,122,125,1.8,0.8,9119,0.64,0.04,0.17,0.50,0.16,54.8
E5200201,蔬菜類,藤三七,19,93.6,1.6,0.5,3.2,1.2,25,452,92,79,2.3,0.7,3629,1.12,0.05,0.07,0.35,0.10,11.0
E53001,蔬菜類,不結球萵苣平均值,13,95.0,1.1,0.3,2.8,1.6,8,283,52,16,0.8,0.4,1406,0.52,0.05,0.07,0.32,0.07,4.5
E5300101,蔬菜類,奶油萵苣(日本種),13,95.2,1.1,0.3,2.6,1.4,1,321,51,14,0.5,0.3,1933,0.26,0.04,0.08,0.08,0.03,2.4
E5300102,蔬菜類,紅葉萵苣(荷蘭種）,12,95.0,1.4,0.3,2.5,2.0,1,313,52,18,1.1,0.6,1203,0.28,0.05,0.08,0.61,0.09,6.5
E5300103,蔬菜類,廣東萵苣,17,94.1,1.0,0.2,4.0,1.7,11,248,56,16,0.7,0.3,455,0.58,0.05,0.05,0.26,0.07,5.2
E5300104,蔬菜類,蘿美萵苣,11,95.8,1.0,0.2,2.3,1.4,20,248,48,16,1.0,0.2,1943,0.97,0.04,0.08,0.32,0.07,3.8
E5300201,蔬菜類,土植本島萵苣(1月取樣),14,95.0,1.6,0.4,2.5,1.5,65,158,29,28,5.8,0.5,3837,0.83,0.06,0.10,0.39,0.07,9.1
E5300202,蔬菜類,土植本島萵苣(3月取樣),14,94.7,0.3,0.3,3.8,2.1,9,423,32,14,1.8,0.3,2646,0.88,0.07,0.13,0.25,0.08,10.8
E5300203,蔬菜類,土植本島萵苣(4月取樣),14,95.1,0.9,0.2,3.3,1.4,46,172,32,23,1.0,0.4,660,0.36,0.08,0.09,0.62,0.07,5.1
